,Airport Name,Annual OTP,No. of operations,Country,Sub Region,Star Rating
117,Recife,83.1,65289,Brazil,Upper South America,4*
118,Bodo,83,36249,Norway,Western Europe,4*
119,Houston George Bush Intercont.,83,431738,USA,North America,4*
120,Appleton,82.9,11271,USA,North America,4*
121,San Luis Potosi,82.9,9803,Mexico,Central America,4*
122,Lanzarote,82.9,51049,Spain,Western Europe,4*
123,Omaha Eppley Airfield,82.9,52753,USA,North America,4*
124,Maceio,82.9,14934,Brazil,Upper South America,4*
125,Johannesburg O.r. Tambo International,82.9,198696,South Africa,Southern Africa,4*
126,Pensacola International,82.8,24070,USA,North America,4*
127,Sacramento International Apt,82.8,104979,USA,North America,4*
128,Lansing,82.8,9216,USA,North America,4*
129,Wichita Dwight D. Eisenhower Apt,82.7,23382,USA,North America,4*
130,Seattle-Tacoma International Apt,82.7,406725,USA,North America,4*
131,Denver Intl Apt,82.7,551667,USA,North America,4*
132,Calama,82.6,12498,Chile,Upper South America,4*
133,Goiania,82.6,28678,Brazil,Upper South America,4*
134,Sao Jose do Rio Preto,82.6,8491,Brazil,Upper South America,4*
135,Foz do Iguacu,82.6,17425,Brazil,Upper South America,4*
136,Bergen,82.6,66864,Norway,Western Europe,4*
137,Trondheim Vaernes Airport,82.5,50277,Norway,Western Europe,4*
138,Flint,82.5,10607,USA,North America,4*
139,Medford,82.4,15187,USA,North America,4*
140,Kansas City International Apt,82.4,114219,USA,North America,4*
141,Evansville,82.4,10894,USA,North America,4*
142,Gran Canaria,82.4,100210,Spain,Western Europe,4*
143,Bremen,82.4,22512,Germany,Western Europe,4*
144,Jackson Medgar W. Evers Intl Apt,82.4,17178,USA,North America,4*
145,San Jose Norman Y. Mineta Intl,82.4,127820,USA,North America,4*
146,Little Rock,82.4,27051,USA,North America,4*
147,Salzburg W A Mozart,82.4,16953,Austria,Western Europe,4*
148,Santa Barbara,82.3,14081,USA,North America,4*
149,Madison,82.3,26939,USA,North America,4*
150,Cedar Rapids,82.1,20284,USA,North America,4*
151,Tulsa International Apt,82.1,34761,USA,North America,4*
152,Pasco,82.1,12492,USA,North America,4*
153,Shreveport Regional Apt,82.1,13266,USA,North America,4*
154,Washington Dulles International Apt,82.1,228417,USA,North America,4*
155,Palm Springs International Apt,82.1,23943,USA,North America,4*
156,Baton Rouge,82.1,15557,USA,North America,4*
157,Fortaleza,82,40893,Brazil,Upper South America,3*
158,Fayetteville/Springdale NW Arkansas Reg,82,28131,USA,North America,3*
159,San Antonio International Apt,82,84967,USA,North America,3*
160,Albuquerque,82,57200,USA,North America,3*
161,Des Moines,82,32427,USA,North America,3*
162,Bilbao,82,43256,Spain,Western Europe,3*
163,Reno,81.9,42771,USA,North America,3*
164,Oklahoma City Will Rogers Apt,81.9,48004,USA,North America,3*
165,Madrid Adolfo Suarez-Barajas Apt,81.9,375457,Spain,Western Europe,3*
166,Madurai,81.9,14059,India,South Asia,3*
167,Midland International Apt,81.9,16665,USA,North America,3*
168,Tucson International Apt,81.8,37638,USA,North America,3*
169,San Diego International,81.8,193142,USA,North America,3*
170,Palermo,81.8,47969,Italy,Western Europe,3*
171,Myrtle Beach International,81.8,22751,USA,North America,3*
172,Cordoba,81.8,27554,Argentina,Upper South America,3*
173,Florianopolis,81.8,31356,Brazil,Upper South America,3*
174,Dunedin,81.7,10569,New Zealand,Southwest Pacific,3*
175,Moscow Sheremetyevo International Apt,81.7,289435,Russian Federation,Eastern/Central Europe,3*
176,Christchurch,81.7,73167,New Zealand,Southwest Pacific,3*
177,Montpellier Mediterranee Apt,81.7,17610,France,Western Europe,3*
178,Dallas Dallas/Fort Worth Intl Apt,81.6,624922,USA,North America,3*
179,Montevideo,81.6,21826,Uruguay,Upper South America,3*
180,Salvador,81.6,59786,Brazil,Upper South America,3*
181,Billund,81.6,29808,Denmark,Western Europe,3*
182,Lubbock Preston Smith International Apt,81.6,13528,USA,North America,3*
183,Fort Mcmurray,81.6,13223,Canada,North America,3*
184,Nelson,81.5,25260,New Zealand,Southwest Pacific,3*
185,Tallahassee,81.5,14338,USA,North America,3*
186,Mobile Regional Apt,81.5,13479,USA,North America,3*
187,McAllen/Mission,81.5,9038,USA,North America,3*
188,Istanbul Sabiha Gokcen Apt,81.5,211856,Turkey,Western Europe,3*
189,Phoenix Sky Harbor Intl Apt,81.4,374365,USA,North America,3*
190,Queenstown,81.4,16301,New Zealand,Southwest Pacific,3*
191,Berlin Schoenefeld Apt,81.4,82262,Germany,Western Europe,3*
192,Charlotte,81.4,515702,USA,North America,3*
193,Miyako,81.4,16649,Japan,North East Asia,3*
194,Huntsville Intl-Carl T. Jones Field,81.4,18569,USA,North America,3*
195,Springfield (US) MO,81.3,19325,USA,North America,3*
196,Austin-Bergstrom International Apt,81.1,124901,USA,North America,3*
197,Tokyo Narita Intl,81.1,226655,Japan,North East Asia,3*
198,Lexington Blue Grass Apt,81,23726,USA,North America,3*
199,Cincinnati Northern Kentucky Intl,81,105652,USA,North America,3*
200,Colorado Springs Municipal,80.9,22499,USA,North America,3*
201,Guayaquil,80.9,35355,Ecuador,Upper South America,3*
202,Kirkwall,80.9,12233,United Kingdom,Western Europe,3*
203,Saipan,80.9,10325,Northern Mariana Islands,Southwest Pacific,3*
204,El Paso International Apt,80.9,35131,USA,North America,3*
205,Cleveland Hopkins International Apt,80.8,105886,USA,North America,3*
206,Rockhampton,80.8,9239,Australia,Southwest Pacific,3*
207,Bonaire,80.8,9515,"Bonaire, Saint Eustatius and Saba",Caribbean,3*
208,Ontario,80.8,44741,USA,North America,3*
209,Sarasota/Bradenton,80.8,11621,USA,North America,3*
210,Copenhagen Kastrup Apt,80.7,248426,Denmark,Western Europe,3*
211,Indianapolis,80.7,105499,USA,North America,3*
212,Birmingham,80.7,39140,USA,North America,3*
213,Saskatoon,80.7,21823,Canada,North America,3*
214,Moline,80.6,13099,USA,North America,3*
215,Aalborg Airport,80.6,15583,Denmark,Western Europe,3*
216,Edmonton International Apt,80.6,90113,Canada,North America,3*
217,Graz,80.6,12922,Austria,Western Europe,3*
218,Agartala,80.5,9682,India,South Asia,3*
219,Long Beach,80.5,35500,USA,North America,3*
220,Knoxville,80.5,34913,USA,North America,3*
221,St Louis Lambert Intl Apt,80.4,172817,USA,North America,3*
222,Valencia Airport,80.4,56573,Spain,Western Europe,3*
223,Memphis,80.4,53570,USA,North America,3*
224,Milwaukee General Mitchell Intl Apt,80.4,76850,USA,North America,3*
225,Sioux Falls,80.3,15981,USA,North America,3*
226,Charleston (US) SC,80.3,48461,USA,North America,3*
227,Singapore Changi Apt,80.3,362900,Singapore,South East Asia,3*
228,Bintulu,80.3,10643,Malaysia,South East Asia,3*
229,Antalya,80.3,94186,Turkey,Western Europe,3*
230,San Luis Obispo,80.2,9563,USA,North America,3*
231,Columbia Metropolitan Apt,80.2,20912,USA,North America,3*
232,Grand Rapids,80.2,38017,USA,North America,3*
233,Regina,80.2,18327,Canada,North America,3*
234,South Bend,80.1,12228,USA,North America,3*
235,Quito,80.1,45149,Ecuador,Upper South America,3*
236,Navegantes,80.1,15921,Brazil,Upper South America,3*
237,Columbus John Glenn Intl Apt,80.1,98456,USA,North America,3*
238,Gainesville,80.1,8771,USA,North America,3*
239,Curacao,80,21619,Curacao,Caribbean,3*
240,Savannah Hilton Head International Apt,80,32894,USA,North America,3*
241,Belem,80,26564,Brazil,Upper South America,3*
242,Cork,80,19944,Ireland Republic of,Western Europe,3*
243,Kelowna,80,31886,Canada,North America,3*
244,Luxembourg,80,50056,Luxembourg,Western Europe,3*
245,Hyderabad Rajiv Gandhi Intl Arpt,79.9,154968,India,South Asia,3*
246,State College,79.9,8091,USA,North America,3*
247,Osaka Kansai International Airport,79.9,174711,Japan,North East Asia,3*
248,Bangkok Don Mueang International Arpt,79.9,252906,Thailand,South East Asia,3*
249,Baltimore Washington International Apt,79.8,239093,USA,North America,3*
250,Nashville,79.8,154155,USA,North America,3*
251,Mazatlan,79.8,9437,Mexico,Central America,3*
252,Louisville Intl-Standiford Field,79.8,51270,USA,North America,3*
253,Fayetteville,79.8,9216,USA,North America,3*
254,Chennai,79.8,157326,India,South Asia,3*
255,Muscat,79.7,111633,Oman,Middle East,3*
256,Norwich,79.7,9513,United Kingdom,Western Europe,3*
257,Jaipur,79.7,40502,India,South Asia,3*
258,Los Angeles International Apt,79.7,645170,USA,North America,3*
259,Las Vegas McCarran International Apt,79.6,352605,USA,North America,3*
260,Oakland International Apt,79.6,115082,USA,North America,3*
261,Bengaluru,79.6,204513,India,South Asia,3*
262,Manchester (US),79.5,25236,USA,North America,3*
263,Gold Coast,79.5,43083,Australia,Southwest Pacific,3*
264,Nadi,79.5,23828,Fiji,Southwest Pacific,3*
265,Monterrey Mariano Escobedo Intl,79.5,96535,Mexico,Central America,3*
266,Amman Queen Alia International Apt,79.4,66905,Jordan,Middle East,3*
267,New Orleans Louis Armstrong Intl Apt,79.3,112191,USA,North America,3*
268,Tampa St Pete-Clearwater Intl Apt,79.3,14554,USA,North America,3*
269,Kolkata,79.3,148608,India,South Asia,3*
270,Corpus Christi International Apt,79.3,10906,USA,North America,3*
271,Providence,79.3,43765,USA,North America,3*
272,Wilmington (US) NC,79.2,14125,USA,North America,3*
273,Peoria,79.2,12916,USA,North America,3*
274,Charleston (US) WV,79.2,11690,USA,North America,3*
275,Burbank,79.2,58849,USA,North America,3*
276,Palmerston North,79.1,13333,New Zealand,Southwest Pacific,3*
277,Miami International Apt,79.1,330534,USA,North America,3*
278,Jacksonville International Apt,79,62060,USA,North America,3*
279,Hartford Bradley International Apt,79,68617,USA,North America,3*
280,Greenville/Spartanburg Intl Apt,79,31974,USA,North America,3*
281,Chicago O'Hare International Apt,79,854342,USA,North America,3*
282,Sao Paulo Guarulhos Intl Apt,78.9,254433,Brazil,Upper South America,3*
283,Calgary,78.9,180424,Canada,North America,3*
284,Allentown/Bethlehem/Easton,78.8,10749,USA,North America,3*
285,Greensboro/High Point,78.8,32529,USA,North America,3*
286,Joao Pessoa,78.8,10713,Brazil,Upper South America,3*
287,Fort Wayne International,78.8,14970,USA,North America,3*
288,Helsinki-Vantaa,78.7,169927,Finland,Western Europe,3*
289,Auckland International Apt,78.7,159777,New Zealand,Southwest Pacific,3*
290,Oslo Gardermoen Airport,78.7,232698,Norway,Western Europe,3*
291,Kuching,78.6,46299,Malaysia,South East Asia,3*
292,Beirut,78.6,62543,Lebanon,Middle East,3*
293,Raleigh/Durham,78.6,133773,USA,North America,3*
294,Tampa International Apt,78.6,162947,USA,North America,3*
295,Cheongju,78.5,12234,Korea Republic of,North East Asia,3*
296,Buenos Aires Ministro Pistarini,78.5,62517,Argentina,Upper South America,3*
297,Busan,78.5,108702,Korea Republic of,North East Asia,3*
298,St Croix Henry E. Rohlsen Apt,78.4,12812,"Virgin Islands, US",Caribbean,3*
299,Rochester (US) MN,78.4,8484,USA,North America,3*
300,Washington Ronald Reagan National Apt,78.4,295431,USA,North America,3*
301,Montgomery Regional-Dannelly Fld,78.4,8154,USA,North America,3*
302,Milan Bergamo/orio al Serio Apt,78.3,75969,Italy,Western Europe,3*
303,Okinawa Naha Apt,78.2,139424,Japan,North East Asia,3*
304,Puerto Montt,78.2,13457,Chile,Upper South America,3*
305,Norfolk International Apt,78.1,49170,USA,North America,3*
